popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,multiple_artists,tempo_cat
35,302146,False,0.481,0.986,A,-4.047,major,0.289,0.209,0.0448,0.931,0.194,190.035,4,ska,FALSE,Presto
31,236840,False,0.488,0.902,E,-2.68,major,0.0412,0.566,0,0.29,0.652,79.999,4,j-idol,FALSE,Andante
66,189858,False,0.483,0.795,G#/Ab,-4.338,minor,0.181,0.00258,0,0.0912,0.685,171.853,4,anime,FALSE,Vivace
0,238026,False,0.333,0.179,D,-17.55,minor,0.0468,0.904,0.00188,0.448,0.117,66.169,4,romance,FALSE,Adagio
30,200594,False,0.485,0.191,D,-11.534,major,0.0368,0.9,0,0.178,0.396,141.366,4,guitar,FALSE,Allegro
52,239866,False,0.514,0.945,G#/Ab,-4.833,major,0.105,0.00234,1.58e-4,0.0638,0.409,104.971,4,industrial,FALSE,Andante
17,240055,False,0.56,0.552,D,-6.358,major,0.0374,0.893,6.39e-6,0.33,0.771,113.488,4,malay,FALSE,Moderato
49,462013,False,0.339,0.874,A#/Bb,-5.794,minor,0.0716,0.00241,0,0.366,0.16,151.96,4,world-music,FALSE,Allegro
56,198088,False,0.313,0.00821,G,-34.243,major,0.0504,0.993,0.941,0.107,0.209,66.695,5,ambient,FALSE,Adagio
42,145575,False,0.764,0.768,A,-8.769,major,0.0374,0.12,6.15e-5,0.0688,0.853,114.898,4,r-n-b,FALSE,Moderato
48,218826,False,0.634,0.505,C,-7.753,minor,0.0341,0.506,1.8e-6,0.116,0.136,89.045,4,show-tunes,FALSE,Andante
14,320333,False,0.252,0.981,F#/Gb,-4.723,major,0.0979,3.57e-6,0.0104,0.111,0.274,96.371,4,grindcore,FALSE,Andante
43,281253,False,0.414,0.939,D,-4.229,minor,0.0653,0.0136,8.68e-6,0.627,0.147,139.951,4,emo,FALSE,Allegro
46,418880,False,0.649,0.413,D,-10.934,major,0.0316,0.261,1.93e-5,0.0748,0.59,143.946,4,folk,FALSE,Allegro
27,181669,False,0.711,0.803,C,-5.61,major,0.0321,0.198,0.0102,0.112,0.786,122.013,4,cantopop,FALSE,Allegro
1,280031,True,0.369,0.99,G#/Ab,-2.189,major,0.093,1.51e-4,1.61e-4,0.309,0.443,144.761,4,iranian,FALSE,Allegro
43,299557,False,0.337,0.977,G,-4.004,major,0.145,1.74e-5,0.528,0.0934,0.108,130.113,4,groove,FALSE,Allegro
12,128284,False,0.531,0.795,E,-8.035,minor,0.0485,4.35e-5,0.9,0.0939,0.317,109.328,4,detroit-techno,FALSE,Moderato
13,462031,False,0.328,0.897,E,-4.514,minor,0.0572,0.0126,0.187,0.559,0.331,134.02,4,breakbeat,FALSE,Allegro
47,255000,False,0.557,0.873,A,-6.674,minor,0.0449,0.00822,0.00453,0.0648,0.868,162.842,4,alt-rock,FALSE,Allegro
46,241500,False,0.251,0.223,F#/Gb,-15.002,minor,0.0344,0.943,0.798,0.113,0.103,140.039,4,new-age,FALSE,Allegro
64,219253,False,0.663,0.977,C,-3.024,major,0.0575,0.00137,1.77e-5,0.173,0.746,129.975,4,grunge,FALSE,Allegro
29,144082,False,0.756,0.155,F,-13.035,major,0.0468,0.427,0.0637,0.0974,0.682,108.068,4,study,FALSE,Moderato
56,220866,False,0.536,0.355,D,-8.61,major,0.0259,0.733,1.22e-5,0.138,0.22,139.888,4,singer-songwriter,FALSE,Allegro
47,240520,False,0.55,0.711,B,-7.943,minor,0.0333,0.632,0.00312,0.116,0.507,161.664,4,mandopop,FALSE,Allegro
26,159120,False,0.358,0.51,G,-5.281,major,0.063,0.915,0,0.135,0.478,84.289,4,tango,FALSE,Andante
22,227333,False,0.668,0.451,E,-6.167,minor,0.0302,0.283,0,0.108,0.59,122.063,4,guitar,FALSE,Allegro
31,289093,False,0.55,0.908,B,-3.625,minor,0.0318,0.0072,6.84e-5,0.139,0.42,119.973,4,heavy-metal,FALSE,Moderato
28,186958,False,0.565,0.659,E,-8.13,minor,0.412,0.334,0,0.141,0.35,89.169,4,dancehall,FALSE,Andante
37,169318,True,0.371,0.674,A,-3.72,major,0.0488,0.169,0,0.0889,0.92,87.603,4,acoustic,FALSE,Andante
41,433133,False,0.489,0.511,C,-9.273,major,0.0482,0.0366,0.00631,0.726,0.0958,66.814,4,mpb,FALSE,Adagio
58,125866,False,0.605,0.314,C,-7.631,major,0.0327,0.916,0,0.359,0.836,138.148,4,british,FALSE,Allegro
41,104933,False,0.354,0.966,C#/Db,-5.139,minor,0.262,0.00362,0,0.293,0.55,185.098,4,emo,FALSE,Presto
26,244040,False,0.443,0.445,A,-9.544,major,0.0515,0.734,5.87e-6,0.669,0.351,83.398,4,rockabilly,FALSE,Andante
5,452510,False,0.886,0.534,D,-13.449,major,0.0993,0.0172,0.925,0.0485,0.826,120.015,4,detroit-techno,FALSE,Allegro
55,171872,False,0.354,0.859,F#/Gb,-4.279,major,0.0637,0.303,1.34e-6,0.285,0.664,179.819,4,sertanejo,FALSE,Presto
11,167573,False,0.554,0.345,D#/Eb,-9.09,major,0.0287,0.749,0,0.0975,0.801,117.11,4,honky-tonk,FALSE,Moderato
0,557480,False,0.635,0.0312,A,-26.199,minor,0.0706,0.991,0.938,0.122,0.24,100.011,4,iranian,FALSE,Andante
24,138102,False,0.712,0.301,D,-9.028,minor,0.0307,0.931,0.444,0.0802,0.167,84.937,4,study,FALSE,Andante
0,173225,False,0.653,0.967,A,-2.706,major,0.193,0.00104,0.0149,0.271,0.364,155.045,4,happy,FALSE,Allegro
45,198800,False,0.656,0.817,A,-7.572,minor,0.0405,0.618,7.71e-6,0.95,0.96,92.788,4,pagode,FALSE,Andante
30,287533,False,0.781,0.755,G,-7.015,major,0.0395,0.564,0.00267,0.126,0.597,118.168,4,afrobeat,FALSE,Moderato
61,176777,False,0.6,0.769,D,-6.572,major,0.183,0.412,0,0.937,0.86,175.813,4,pagode,FALSE,Vivace
53,171573,False,0.584,0.827,A,-5.717,minor,0.245,0.22,0,0.863,0.454,174.108,4,sertanejo,FALSE,Vivace
29,161212,False,0.912,0.503,A#/Bb,-12.544,minor,0.0332,0.00763,0.00142,0.357,0.802,101.011,4,children,FALSE,Andante
30,193325,False,0.629,0.532,C#/Db,-9.978,minor,0.0362,0.288,8.19e-5,0.31,0.446,77.211,4,rockabilly,FALSE,Andante
58,200906,False,0.376,0.967,D#/Eb,-3.277,minor,0.166,2.48e-4,2.64e-6,0.0575,0.226,91.582,4,grunge,FALSE,Andante
47,254615,False,0.489,0.873,A,-5.38,major,0.045,1.27e-4,7.78e-4,0.108,0.386,148.046,4,goth,FALSE,Allegro
37,145426,False,0.546,0.976,C,-3.066,major,0.203,0.0206,1.02e-6,0.0937,0.326,124.022,4,hard-rock,FALSE,Allegro
0,233426,False,0.381,0.317,C,-9.251,minor,0.0693,0.956,0,0.343,0.535,83.142,4,romance,FALSE,Andante
20,267851,False,0.35,0.891,A#/Bb,-6.373,minor,0.0667,7.8e-6,0.849,0.129,0.179,149.938,4,black-metal,FALSE,Allegro
39,293653,False,0.628,0.728,E,-6.87,major,0.0459,0.736,0,0.609,0.776,107.993,4,mpb,FALSE,Andante
30,229226,False,0.522,0.302,C,-9.774,minor,0.0315,0.593,0.00162,0.115,0.187,121.47,3,bluegrass,FALSE,Allegro
7,212973,False,0.669,0.767,C,-7.707,minor,0.0313,2.45e-4,0.84,0.135,0.676,123.008,4,detroit-techno,FALSE,Allegro
12,198840,False,0.538,0.334,G,-13.763,major,0.0315,0.735,1.02e-5,0.103,0.393,124.869,3,honky-tonk,FALSE,Allegro
40,193875,False,0.48,0.853,C,-5.573,major,0.0372,0.00456,0,0.98,0.488,144.063,4,world-music,FALSE,Allegro
0,126911,False,0.618,0.644,F,-9.756,minor,0.35,0.898,0,0.633,0.804,107.485,4,romance,FALSE,Andante
23,279453,False,0.542,0.927,F#/Gb,-3.971,minor,0.0752,0.167,0.00927,0.446,0.369,135.002,4,grunge,FALSE,Allegro
27,243713,False,0.335,0.968,G,-0.958,major,0.148,5.68e-5,0.0551,0.145,0.559,200.1,4,j-idol,FALSE,Prestissimo
13,147174,False,0.751,0.33,C,-15.938,major,0.497,0.568,0,0.064,0.705,120.202,4,kids,FALSE,Allegro
65,258483,False,0.441,0.465,D#/Eb,-8.389,major,0.0291,0.343,0.884,0.0982,0.173,123.933,4,ambient,FALSE,Allegro
50,202960,False,0.467,0.532,G,-7.519,major,0.0339,0.897,0.144,0.101,0.121,72.49,4,ambient,FALSE,Adagio
19,88213,False,0.759,0.29,F,-8.994,major,0.0493,0.852,0,0.091,0.792,70.055,4,children,FALSE,Adagio
10,152133,False,0.547,0.493,A#/Bb,-14.062,major,0.0671,0.77,0,0.155,0.895,175.784,4,honky-tonk,FALSE,Vivace
10,141000,False,0.628,0.259,A,-12.026,major,0.0274,0.976,0,0.162,0.486,111.967,4,honky-tonk,FALSE,Moderato
51,204986,False,0.507,0.6,A,-8.44,major,0.0556,0.686,0,0.967,0.532,147.871,4,pagode,FALSE,Allegro
52,233042,False,0.391,0.667,D,-5.683,major,0.0378,0.691,0,0.353,0.59,72.995,4,pagode,FALSE,Adagio
23,147813,True,0.572,0.953,C,-4.341,major,0.922,0.782,0,0.683,0.212,146.213,3,comedy,FALSE,Allegro
51,190162,False,0.649,0.666,B,-4.871,minor,0.0706,0.404,0,0.302,0.783,131.812,4,forro,FALSE,Allegro
0,270863,False,0.193,0.298,C,-19.232,minor,0.041,0.858,0.793,0.0987,0.05,138.735,4,iranian,FALSE,Allegro
57,167746,False,0.44,0.196,D,-17.375,major,0.0272,0.804,8.95e-6,0.179,0.333,85.776,4,rock-n-roll,FALSE,Andante
37,391782,False,0.671,0.762,B,-12.457,major,0.0423,0.206,0.769,0.092,0.036,125.013,4,idm,FALSE,Allegro
29,179280,False,0.677,0.664,D,-3.724,major,0.0311,0.615,0,0.179,0.92,135.127,3,guitar,FALSE,Allegro
73,447440,False,0.437,0.695,G,-9.447,major,0.0617,0.00111,0.0857,0.124,0.413,102.178,3,hard-rock,FALSE,Andante
20,257866,False,0.483,0.402,D,-14.097,major,0.0627,0.868,5.66e-6,0.969,0.717,93.127,4,tango,FALSE,Andante
42,228080,False,0.497,0.917,A#/Bb,-4.996,minor,0.0843,0.00753,6.52e-4,0.198,0.645,159.968,4,brazil,FALSE,Allegro
63,292080,False,0.442,0.56,C,-13.681,major,0.0361,0.252,0.0322,0.151,0.475,166.585,4,psych-rock,FALSE,Allegro
29,57653,False,0.923,0.287,C,-13.711,major,0.114,0.972,0,0.101,0.516,113.953,4,kids,FALSE,Moderato
7,423400,False,0.776,0.727,A#/Bb,-14.97,minor,0.0739,0.15,0.93,0.0906,0.643,130.052,4,detroit-techno,FALSE,Allegro
50,406173,False,0.365,0.458,B,-8.138,major,0.0311,0.0576,0,0.302,0.114,73.991,4,world-music,FALSE,Adagio
21,360592,False,0.438,0.957,A,-6.274,major,0.0597,7.06e-6,0.139,0.583,0.251,140.025,4,heavy-metal,FALSE,Allegro
15,46106,False,0.818,0.377,C,-9.846,minor,0.321,0.725,1.83e-6,0.525,0.835,71.998,4,kids,FALSE,Adagio
8,412799,False,0.724,0.551,A#/Bb,-11.679,minor,0.0709,0.00489,0.114,0.097,0.558,128.006,4,detroit-techno,FALSE,Allegro
74,312293,False,0.389,0.873,E,-4.768,minor,0.0475,0.00532,0.0055,0.273,0.303,106.767,4,hard-rock,FALSE,Andante
22,209306,False,0.698,0.809,C,-4.447,major,0.0775,0.0116,3.08e-5,0.264,0.872,138.011,4,kids,FALSE,Allegro
43,263270,False,0.636,0.765,G,-6.669,major,0.0538,0.453,0,0.664,0.906,95.06,4,pagode,FALSE,Andante
39,122942,False,0.388,0.807,D,-6.576,minor,0.0576,0.66,0,0.92,0.843,120.671,4,mpb,FALSE,Allegro
67,403044,False,0.269,0.591,A#/Bb,-5.79,minor,0.0416,0.453,6.95e-4,0.0702,0.228,183.793,4,british,FALSE,Presto
70,124693,False,0.425,0.369,E,-11.876,major,0.0379,0.183,0.00126,0.112,0.65,176.625,3,british,FALSE,Presto
0,215325,False,0.781,0.971,F#/Gb,-5.979,major,0.0735,0.0467,0,0.0698,0.647,116.002,4,children,FALSE,Moderato
26,364666,False,0.513,0.82,E,-5.118,minor,0.03,0.00694,0.00457,0.0754,0.779,133.997,4,industrial,FALSE,Allegro
18,215373,False,0.661,0.966,G#/Ab,-2.113,major,0.0514,0.212,1.43e-6,0.118,0.844,124.942,4,j-idol,FALSE,Allegro
0,168063,False,0.45,0.462,G#/Ab,-8.016,major,0.0325,0.0421,1.4e-5,0.104,0.165,166.025,4,idm,FALSE,Allegro
42,200440,False,0.603,0.66,D,-8.837,major,0.0344,0.766,0,0.627,0.483,129.211,4,samba,FALSE,Allegro
46,144879,False,0.625,0.737,B,-8.109,minor,0.191,0.642,0,0.646,0.663,122.734,4,sertanejo,FALSE,Allegro
37,335724,False,0.348,0.154,B,-13.982,major,0.0507,0.884,0,0.111,0.295,77.992,4,world-music,FALSE,Andante
70,246493,True,0.568,0.871,C,-3.453,major,0.0308,0.0553,0.51,0.303,0.374,119.99,4,alt-rock,FALSE,Moderato
0,228399,False,0.435,0.0885,A,-19.184,minor,0.0488,0.991,0.945,0.0915,0.195,115.758,4,new-age,FALSE,Moderato
23,219043,False,0.504,0.918,C,-5.475,major,0.0462,0.00228,0,0.147,0.674,165.911,4,grunge,FALSE,Allegro
23,537986,False,0.45,0.976,A#/Bb,-4.539,major,0.0461,1.64e-5,0.395,0.431,0.417,92.03,4,heavy-metal,FALSE,Andante
9,77613,False,0.262,0.136,C,-20.967,major,0.0347,0.98,0.898,0.163,0.188,151.539,3,classical,TRUE,Allegro
50,256733,False,0.57,0.887,G,-7.993,minor,0.0448,0.0908,3.41e-6,0.197,0.182,94.607,4,mandopop,FALSE,Andante
12,39493,False,0.144,0.958,A#/Bb,-3.6,minor,0.213,1.56e-4,0.28,0.569,0.0573,176.353,3,grindcore,FALSE,Presto
57,225440,False,0.495,0.869,F#/Gb,-3.48,minor,0.0462,0.0306,0,0.279,0.522,94.012,3,metal,FALSE,Andante
22,93396,False,0.726,0.149,A#/Bb,-23.103,major,0.108,0.975,0.872,0.112,0.973,180.424,4,disney,FALSE,Presto
10,112689,False,0.142,0.0877,C#/Db,-21.597,major,0.0439,0.662,0.961,0.112,0.026,95.287,4,iranian,FALSE,Andante
41,94891,False,0.697,0.462,G,-10.463,major,0.0458,0.271,0,0.198,0.677,172.017,4,pagode,TRUE,Vivace
33,278666,False,0.502,0.517,E,-8.207,minor,0.0359,0.653,0,0.18,0.497,104.374,4,salsa,FALSE,Andante
56,216786,False,0.561,0.569,F#/Gb,-9.682,major,0.0289,0.365,0.611,0.109,0.53,103.705,4,garage,FALSE,Andante
19,160600,False,0.717,0.109,D,-16.867,major,0.0344,0.847,0,0.111,0.677,130.367,4,honky-tonk,TRUE,Allegro
14,175862,False,0.921,0.924,F,-4.887,major,0.101,0.0484,0,0.532,0.58,115.995,4,kids,FALSE,Moderato
44,390016,False,0.49,0.699,G#/Ab,-7.564,major,0.0476,0.349,2.41e-4,0.178,0.156,100.288,4,folk,FALSE,Andante
39,234333,False,0.52,0.976,C,-5.604,major,0.147,0.0398,7.84e-5,0.104,0.421,182.468,4,j-pop,FALSE,Presto
69,181049,False,0.538,0.953,A,-5.611,minor,0.056,0.0234,0.00126,0.113,0.74,100.033,4,garage,FALSE,Andante
67,239386,True,0.295,0.924,F,-3.407,major,0.0678,4.02e-5,0.00462,0.377,0.219,171.941,4,metal,FALSE,Vivace
0,191997,False,0.763,0.388,D,-14.338,minor,0.0296,0.181,0.838,0.292,0.767,144.013,4,children,FALSE,Allegro
59,260560,False,0.73,0.585,C,-9.274,major,0.0238,0.375,0.0101,0.147,0.721,100.021,4,metal,FALSE,Andante
27,200832,False,0.641,0.386,D,-7.535,minor,0.0241,0.773,2.53e-4,0.137,0.592,79.047,4,malay,FALSE,Andante
49,193009,False,0.631,0.807,C,-5.857,major,0.0545,0.27,0,0.675,0.45,114.924,4,sertanejo,FALSE,Moderato
34,475813,False,0.239,0.694,A#/Bb,-5.618,major,0.0381,4.5e-4,0,0.425,0.166,169.966,3,world-music,FALSE,Vivace
64,183253,False,0.724,0.757,A,-4.787,minor,0.0274,0.00777,1.54e-4,0.215,0.878,109.98,4,garage,FALSE,Moderato
44,204800,False,0.532,0.488,A,-9.692,major,0.0235,0.274,0.0011,0.426,0.156,87.97,4,hard-rock,FALSE,Andante
38,230373,False,0.647,0.746,F#/Gb,-4.013,major,0.058,0.352,0,0.119,0.478,146.035,4,gospel,FALSE,Allegro
47,209515,False,0.4,0.979,C#/Db,-3.228,major,0.0822,5.65e-5,0.879,0.0631,0.202,173.92,4,drum-and-bass,FALSE,Vivace
57,134560,False,0.63,0.661,B,-7.465,major,0.0263,0.00533,1.45e-5,0.162,0.953,126.975,4,psych-rock,FALSE,Allegro
55,215411,False,0.554,0.488,F,-8.079,major,0.0307,0.589,0,0.136,0.539,95.949,4,pop-film,FALSE,Andante
8,570000,False,0.866,0.25,A#/Bb,-21.055,minor,0.0923,0.00209,0.911,0.115,0.306,110.918,4,detroit-techno,FALSE,Moderato
38,192146,False,0.666,0.824,C#/Db,-8.59,major,0.0283,0.438,2.34e-5,0.135,0.966,146.23,4,ska,FALSE,Allegro
39,224186,False,0.598,0.582,A,-8.438,major,0.0483,0.646,0,0.953,0.713,75.078,4,samba,FALSE,Adagio
43,259519,False,0.295,0.563,D,-8.686,major,0.0358,0.0305,0,0.0968,0.521,87.067,4,metalcore,FALSE,Andante
6,267306,False,0.724,0.941,F#/Gb,-13.646,minor,0.0555,8.61e-6,0.93,0.105,0.219,134.312,4,detroit-techno,FALSE,Allegro
18,225042,False,0.57,0.875,C#/Db,-5.065,minor,0.07,0.0334,0.00289,0.339,0.802,175.017,4,j-idol,FALSE,Vivace
34,246573,False,0.504,0.83,G,-5.68,major,0.0716,0.201,0,0.988,0.599,131.546,4,ska,FALSE,Allegro
27,141665,False,0.697,0.535,C#/Db,-6.314,major,0.0346,0.143,0.888,0.114,0.566,91.905,4,study,FALSE,Andante
39,239466,False,0.503,0.69,C,-6.43,major,0.0287,4.43e-4,0,0.224,0.451,89.032,4,heavy-metal,FALSE,Andante
18,117106,False,0.794,0.657,A#/Bb,-8.038,major,0.506,0.589,0,0.0922,0.797,95.155,4,j-dance,FALSE,Andante
2,291546,False,0.122,0.351,B,-18.039,minor,0.0405,0.891,0.769,0.119,0.0734,87.074,4,iranian,FALSE,Andante
64,305426,False,0.318,0.573,C#/Db,-5.653,major,0.0324,0.107,0,0.0854,0.0765,156.054,4,alt-rock,FALSE,Allegro
18,293240,False,0.556,0.888,G,-4.507,major,0.0586,5.45e-4,2.04e-5,0.907,0.512,158.01,4,j-idol,FALSE,Allegro
36,205145,False,0.552,0.742,D,-7.801,major,0.118,0.219,2.25e-5,0.21,0.537,200.029,4,k-pop,FALSE,Prestissimo
34,280666,False,0.562,0.939,C,-3.259,major,0.0668,0.338,0,0.122,0.486,150.072,4,j-idol,FALSE,Allegro
32,215026,False,0.682,0.669,E,-7.687,minor,0.0337,0.00319,6.24e-6,0.17,0.362,129.084,4,j-rock,FALSE,Allegro
22,191320,False,0.231,0.0378,G#/Ab,-20.849,major,0.0394,0.973,0.869,0.0908,0.0398,119.793,4,new-age,FALSE,Moderato
54,183651,False,0.655,0.489,D,-5.375,major,0.0592,0.726,0,0.865,0.531,151.978,4,sertanejo,FALSE,Allegro
54,211787,False,0.394,0.228,E,-12.584,major,0.0431,0.966,3.81e-5,0.113,0.258,104.625,4,ambient,FALSE,Andante
21,188466,False,0.558,0.415,D,-7.777,major,0.0845,0.616,0,0.103,0.425,113.579,4,tango,FALSE,Moderato
38,181413,False,0.765,0.924,A,-5.579,major,0.0313,0.121,0,0.315,0.918,121.985,4,punk-rock,FALSE,Allegro
27,203733,False,0.69,0.464,C,-5.379,major,0.0388,0.0102,0,0.315,0.457,125.967,4,party,FALSE,Allegro
53,299164,False,0.541,0.8,F#/Gb,-3.687,major,0.0382,0.0442,0,0.398,0.56,129.939,4,anime,FALSE,Allegro
0,162066,False,0.632,0.529,E,-6.556,major,0.0854,0.73,0,0.16,0.575,148.176,4,kids,FALSE,Allegro
0,356280,False,0.534,0.00983,D,-27.208,minor,0.0633,0.991,0.919,0.0901,0.27,140.663,3,iranian,FALSE,Allegro
0,221440,False,0.506,0.998,B,-1.502,major,0.132,0.0665,0,0.468,0.54,144.925,4,german,FALSE,Allegro
43,243800,False,0.788,0.828,C,-4.359,major,0.0425,0.037,2.1e-5,0.12,0.932,122.996,4,electronic,FALSE,Allegro
11,348000,False,0.642,0.992,A,-1.859,major,0.122,2.42e-4,0.162,0.196,0.303,119.968,4,chicago-house,FALSE,Moderato
21,119101,False,0.0614,0.00153,C,-28.262,major,0.0516,0.969,0.995,0.112,0.0671,74.04,3,guitar,FALSE,Adagio
28,153630,False,0.74,0.644,F#/Gb,-7.313,minor,0.053900000000000003,0.0351,0.879,0.133,0.498,92.998,4,study,FALSE,Andante
20,172544,False,0.716,0.99,G,-4.353,major,0.0771,0.14,6.54e-5,0.422,0.694,132.014,4,club,FALSE,Allegro
