popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,multiple_artists,tempo_cat,artists,album_name,track_name
52,239866,False,0.514,0.945,G#/Ab,-4.833,major,0.105,0.00234,1.58e-4,0.0638,0.409,104.971,4,industrial,FALSE,Andante,Rammstein,"Reise, Reise",Morgenstern
17,240055,False,0.56,0.552,D,-6.358,major,0.0374,0.893,6.39e-6,0.33,0.771,113.488,4,malay,FALSE,Moderato,Sujatha,Tamil Christian Traditional Songs,Parisuththam Pera
49,462013,False,0.339,0.874,A#/Bb,-5.794,minor,0.0716,0.00241,0,0.366,0.16,151.96,4,world-music,FALSE,Allegro,Planetshakers,Limitless (Live),The Anthem (Full Song) - Live
56,198088,False,0.313,0.00821,G,-34.243,major,0.0504,0.993,0.941,0.107,0.209,66.695,5,ambient,FALSE,Adagio,Ludovico Einaudi,Underwater,Nobody Knows
42,145575,False,0.764,0.768,A,-8.769,major,0.0374,0.12,6.15e-5,0.0688,0.853,114.898,4,r-n-b,FALSE,Moderato,Joan Sebastian,Norteño,Ojitos De Golondrina
48,218826,False,0.634,0.505,C,-7.753,minor,0.0341,0.506,1.8e-6,0.116,0.136,89.045,4,show-tunes,FALSE,Andante,Ben Platt,Sing To Me Instead,Temporary Love
14,320333,False,0.252,0.981,F#/Gb,-4.723,major,0.0979,3.57e-6,0.0104,0.111,0.274,96.371,4,grindcore,FALSE,Andante,Carcass,Surgical Steel (Complete Edition),316L Grade Surgical Steel
43,281253,False,0.414,0.939,D,-4.229,minor,0.0653,0.0136,8.68e-6,0.627,0.147,139.951,4,emo,FALSE,Allegro,For Revenge,Second Chance,Permainan Menunggu
46,418880,False,0.649,0.413,D,-10.934,major,0.0316,0.261,1.93e-5,0.0748,0.59,143.946,4,folk,FALSE,Allegro,Kailash Kher,Salaam-E-Ishq,Ya Rabba
27,181669,False,0.711,0.803,C,-5.61,major,0.0321,0.198,0.0102,0.112,0.786,122.013,4,cantopop,FALSE,Allegro,my little airport,"我們在炎熱與抑鬱的夏天,無法停止抽煙",馬田的心事
1,280031,True,0.369,0.99,G#/Ab,-2.189,major,0.093,1.51e-4,1.61e-4,0.309,0.443,144.761,4,iranian,FALSE,Allegro,Confess,In Pursuit of Dreams,See You Other Side
43,299557,False,0.337,0.977,G,-4.004,major,0.145,1.74e-5,0.528,0.0934,0.108,130.113,4,groove,FALSE,Allegro,Lamb of God,Lamb of God,Resurrection Man
12,128284,False,0.531,0.795,E,-8.035,minor,0.0485,4.35e-5,0.9,0.0939,0.317,109.328,4,detroit-techno,FALSE,Moderato,Drexciya,Journey of the Deep Sea Dweller IV,Unknown Journey VIII
13,462031,False,0.328,0.897,E,-4.514,minor,0.0572,0.0126,0.187,0.559,0.331,134.02,4,breakbeat,FALSE,Allegro,The Chemical Brothers,It Doesn't Matter (Alt Mix / 28/9/96),Elektrobank - Demo / 3/6/96
47,255000,False,0.557,0.873,A,-6.674,minor,0.0449,0.00822,0.00453,0.0648,0.868,162.842,4,alt-rock,FALSE,Allegro,Patricio Rey y sus Redonditos de Ricota,La Mosca y la Sopa,Fusilados por la Cruz Roja
46,241500,False,0.251,0.223,F#/Gb,-15.002,minor,0.0344,0.943,0.798,0.113,0.103,140.039,4,new-age,FALSE,Allegro,Yiruma,f r a m e,Autumn Finds Winter
64,219253,False,0.663,0.977,C,-3.024,major,0.0575,0.00137,1.77e-5,0.173,0.746,129.975,4,grunge,FALSE,Allegro,Nickelback,Dark Horse,Something in Your Mouth
29,144082,False,0.756,0.155,F,-13.035,major,0.0468,0.427,0.0637,0.0974,0.682,108.068,4,study,FALSE,Moderato,"Sarah, the Illstrumentalist",The Sun's Out,Warm Cup of Golden Milk
56,220866,False,0.536,0.355,D,-8.61,major,0.0259,0.733,1.22e-5,0.138,0.22,139.888,4,singer-songwriter,FALSE,Allegro,John Mayer,The Search for Everything,Never on the Day You Leave
47,240520,False,0.55,0.711,B,-7.943,minor,0.0333,0.632,0.00312,0.116,0.507,161.664,4,mandopop,FALSE,Allegro,Jay Chou,七里香,外婆
26,159120,False,0.358,0.51,G,-5.281,major,0.063,0.915,0,0.135,0.478,84.289,4,tango,FALSE,Andante,Roberto Goyeneche,Berretín,Berretin
22,227333,False,0.668,0.451,E,-6.167,minor,0.0302,0.283,0,0.108,0.59,122.063,4,guitar,FALSE,Allegro,William Luna,Hasta el Final,Norma
31,289093,False,0.55,0.908,B,-3.625,minor,0.0318,0.0072,6.84e-5,0.139,0.42,119.973,4,heavy-metal,FALSE,Moderato,Almafuerte,Trillando la Fina,PaÂ´Pelusa
28,186958,False,0.565,0.659,E,-8.13,minor,0.412,0.334,0,0.141,0.35,89.169,4,dancehall,FALSE,Andante,Chronic Law,Solemn Request,Solemn Request
37,169318,True,0.371,0.674,A,-3.72,major,0.0488,0.169,0,0.0889,0.92,87.603,4,acoustic,FALSE,Andante,Days N Daze,Show Me the Blueprints.,Flurry Rush
41,433133,False,0.489,0.511,C,-9.273,major,0.0482,0.0366,0.00631,0.726,0.0958,66.814,4,mpb,FALSE,Adagio,Tim Maia,Tim Maia In Concert,Me Dê Motivo
58,125866,False,0.605,0.314,C,-7.631,major,0.0327,0.916,0,0.359,0.836,138.148,4,british,FALSE,Allegro,The Beatles,1 (Remastered),Eleanor Rigby - Remastered 2015
41,104933,False,0.354,0.966,C#/Db,-5.139,minor,0.262,0.00362,0,0.293,0.55,185.098,4,emo,FALSE,Presto,PXNDX,Amantes Sunt Amentes,¡ah Pero Cómo Vendo Cassettes!
26,244040,False,0.443,0.445,A,-9.544,major,0.0515,0.734,5.87e-6,0.669,0.351,83.398,4,rockabilly,FALSE,Andante,The Baseballs,Strings 'n' Stripes Live,Torn - Live
5,452510,False,0.886,0.534,D,-13.449,major,0.0993,0.0172,0.925,0.0485,0.826,120.015,4,detroit-techno,FALSE,Allegro,Omar S,Omar S - Your Hit Making Papa,Odawa
55,171872,False,0.354,0.859,F#/Gb,-4.279,major,0.0637,0.303,1.34e-6,0.285,0.664,179.819,4,sertanejo,FALSE,Presto,Henrique & Juliano,Novas Histórias (Ao Vivo / Deluxe),Compensa Me Amar - Ao Vivo
11,167573,False,0.554,0.345,D#/Eb,-9.09,major,0.0287,0.749,0,0.0975,0.801,117.11,4,honky-tonk,FALSE,Moderato,Ray Price,The Essential Ray Price,Invitation to the Blues - Single Version
0,557480,False,0.635,0.0312,A,-26.199,minor,0.0706,0.991,0.938,0.122,0.24,100.011,4,iranian,FALSE,Andante,Kiawasch Sahebnassagh,...und hier in der Stille (...va inja Sokut) - Klavier Improvisation,Re
24,138102,False,0.712,0.301,D,-9.028,minor,0.0307,0.931,0.444,0.0802,0.167,84.937,4,study,FALSE,Andante,Timothy Infinite,Fog,Lazy
0,173225,False,0.653,0.967,A,-2.706,major,0.193,0.00104,0.0149,0.271,0.364,155.045,4,happy,FALSE,Allegro,The Prophet,Harder Tunes Forever - 100% the Best in Hardstyle and Hardcore,Never Fake
45,198800,False,0.656,0.817,A,-7.572,minor,0.0405,0.618,7.71e-6,0.95,0.96,92.788,4,pagode,FALSE,Andante,Grupo Revelação,Ao Vivo - Na Palma da Mão,Compasso do Amor - Ao Vivo
30,287533,False,0.781,0.755,G,-7.015,major,0.0395,0.564,0.00267,0.126,0.597,118.168,4,afrobeat,FALSE,Moderato,Los Amigos Invisibles,The New Sound of the Venezuelan Gozadera,Cachete a Cachete
61,176777,False,0.6,0.769,D,-6.572,major,0.183,0.412,0,0.937,0.86,175.813,4,pagode,FALSE,Vivace,Ferrugem,É Dor Que Não Passa (Ao Vivo),É Dor Que Não Passa - Ao Vivo
53,171573,False,0.584,0.827,A,-5.717,minor,0.245,0.22,0,0.863,0.454,174.108,4,sertanejo,FALSE,Vivace,Henrique & Juliano,O Céu Explica Tudo (Ao Vivo),Maquiagem Não Disfarça - Ao Vivo
29,161212,False,0.912,0.503,A#/Bb,-12.544,minor,0.0332,0.00763,0.00142,0.357,0.802,101.011,4,children,FALSE,Andante,ChuChu TV,"ChuChuTV Nursery Rhymes & Songs for Children, Vol. 1",Bingo Dog Song
30,193325,False,0.629,0.532,C#/Db,-9.978,minor,0.0362,0.288,8.19e-5,0.31,0.446,77.211,4,rockabilly,FALSE,Andante,Eikichi Yazawa,アルバム未収録集 (50th Anniversary Remastered),THIS IS A SONG FOR COCA-COLA - Remastered 2022
58,200906,False,0.376,0.967,D#/Eb,-3.277,minor,0.166,2.48e-4,2.64e-6,0.0575,0.226,91.582,4,grunge,FALSE,Andante,Breaking Benjamin,Ember,Red Cold River
47,254615,False,0.489,0.873,A,-5.38,major,0.045,1.27e-4,7.78e-4,0.108,0.386,148.046,4,goth,FALSE,Allegro,Nightwish,Dark Passion Play,Bye Bye Beautiful
37,145426,False,0.546,0.976,C,-3.066,major,0.203,0.0206,1.02e-6,0.0937,0.326,124.022,4,hard-rock,FALSE,Allegro,Dead Fish,Zero e Um,Tão Iguais
0,233426,False,0.381,0.317,C,-9.251,minor,0.0693,0.956,0,0.343,0.535,83.142,4,romance,FALSE,Andante,Sergei Lemeshev,Легенды русской эстрады. Сергей Лемешев. Часть первая,Хуторок
20,267851,False,0.35,0.891,A#/Bb,-6.373,minor,0.0667,7.8e-6,0.849,0.129,0.179,149.938,4,black-metal,FALSE,Allegro,Hypocrisy,End of Disclosure,44 Double Zero
39,293653,False,0.628,0.728,E,-6.87,major,0.0459,0.736,0,0.609,0.776,107.993,4,mpb,FALSE,Andante,Diogo Nogueira,Alma Brasileira (Ao Vivo / Edição Especial),Cabô Meu Pai / Uma Prova De Amor / Quando A Gira Girou - Ao Vivo
30,229226,False,0.522,0.302,C,-9.774,minor,0.0315,0.593,0.00162,0.115,0.187,121.47,3,bluegrass,FALSE,Allegro,The Wood Brothers,Loaded,Fall Too Fast
7,212973,False,0.669,0.767,C,-7.707,minor,0.0313,2.45e-4,0.84,0.135,0.676,123.008,4,detroit-techno,FALSE,Allegro,Octave One,Reworks,Believer [featuring Ann Saunderson] - The Edit
12,198840,False,0.538,0.334,G,-13.763,major,0.0315,0.735,1.02e-5,0.103,0.393,124.869,3,honky-tonk,FALSE,Allegro,George Jones,Shine On,The Show's Almost Over
40,193875,False,0.48,0.853,C,-5.573,major,0.0372,0.00456,0,0.98,0.488,144.063,4,world-music,FALSE,Allegro,Hillsong Young & Free,All Of My Best Friends,Never Have I Ever - Live
0,126911,False,0.618,0.644,F,-9.756,minor,0.35,0.898,0,0.633,0.804,107.485,4,romance,FALSE,Andante,Sergei Lemeshev,"Russkie narodnye pesni, Chast' 2",Pesnja bobylja
23,279453,False,0.542,0.927,F#/Gb,-3.971,minor,0.0752,0.167,0.00927,0.446,0.369,135.002,4,grunge,FALSE,Allegro,Linkin Park,A Thousand Suns,Blackout
27,243713,False,0.335,0.968,G,-0.958,major,0.148,5.68e-5,0.0551,0.145,0.559,200.1,4,j-idol,FALSE,Prestissimo,BiS,LOOKiE,STUPiD (NEW TYPE Ver.)
13,147174,False,0.751,0.33,C,-15.938,major,0.497,0.568,0,0.064,0.705,120.202,4,kids,FALSE,Allegro,Christopher Zondaflex Tyler,The Mr. Chris Dance Combo Project,Flex and Point
65,258483,False,0.441,0.465,D#/Eb,-8.389,major,0.0291,0.343,0.884,0.0982,0.173,123.933,4,ambient,FALSE,Allegro,Cigarettes After Sex,Cigarettes After Sex,John Wayne
50,202960,False,0.467,0.532,G,-7.519,major,0.0339,0.897,0.144,0.101,0.121,72.49,4,ambient,FALSE,Adagio,Novo Amor,Birthplace,Sleepless
19,88213,False,0.759,0.29,F,-8.994,major,0.0493,0.852,0,0.091,0.792,70.055,4,children,FALSE,Adagio,The Countdown Kids,30 Toddler Songs (for ages 2+),Pat-A-Cake Pat-A-Cake
10,152133,False,0.547,0.493,A#/Bb,-14.062,major,0.0671,0.77,0,0.155,0.895,175.784,4,honky-tonk,FALSE,Vivace,George Jones,All-Time Greats (Original Musicor Records Recordings),I'll See You A While Ago
10,141000,False,0.628,0.259,A,-12.026,major,0.0274,0.976,0,0.162,0.486,111.967,4,honky-tonk,FALSE,Moderato,Hank Williams,The Complete Hank Williams,I'm Free At Last
51,204986,False,0.507,0.6,A,-8.44,major,0.0556,0.686,0,0.967,0.532,147.871,4,pagode,FALSE,Allegro,Thiaguinho,Meu Nome É Thiago André (Ao Vivo),Uma História De Amor - Ao Vivo
52,233042,False,0.391,0.667,D,-5.683,major,0.0378,0.691,0,0.353,0.59,72.995,4,pagode,FALSE,Adagio,Péricles,Pagode do Pericão (Ao Vivo),Eu Te Amo - Ao Vivo
23,147813,True,0.572,0.953,C,-4.341,major,0.922,0.782,0,0.683,0.212,146.213,3,comedy,FALSE,Allegro,Patton Oswalt,Finest Hour,The Best Argument Against Gay Marriage
51,190162,False,0.649,0.666,B,-4.871,minor,0.0706,0.404,0,0.302,0.783,131.812,4,forro,FALSE,Allegro,Pablo,Gênio da Latinha,Como É Que Cancela
0,270863,False,0.193,0.298,C,-19.232,minor,0.041,0.858,0.793,0.0987,0.05,138.735,4,iranian,FALSE,Allegro,Spuntic,Hybrid Source,Mineral Ages
57,167746,False,0.44,0.196,D,-17.375,major,0.0272,0.804,8.95e-6,0.179,0.333,85.776,4,rock-n-roll,FALSE,Andante,Elvis Presley,From Elvis in Memphis,Don't Cry Daddy
37,391782,False,0.671,0.762,B,-12.457,major,0.0423,0.206,0.769,0.092,0.036,125.013,4,idm,FALSE,Allegro,Rival Consoles,Now Is,Now Is
29,179280,False,0.677,0.664,D,-3.724,major,0.0311,0.615,0,0.179,0.92,135.127,3,guitar,FALSE,Allegro,William Luna,A Tiempo,Perdón de Corazón
73,447440,False,0.437,0.695,G,-9.447,major,0.0617,0.00111,0.0857,0.124,0.413,102.178,3,hard-rock,FALSE,Andante,Metallica,...And Justice For All,One
20,257866,False,0.483,0.402,D,-14.097,major,0.0627,0.868,5.66e-6,0.969,0.717,93.127,4,tango,FALSE,Andante,Adriana Varela,Tango en Vivo,Cambalache
42,228080,False,0.497,0.917,A#/Bb,-4.996,minor,0.0843,0.00753,6.52e-4,0.198,0.645,159.968,4,brazil,FALSE,Allegro,O Rappa,Nunca Tem Fim (Standard),O horizonte é logo alí
63,292080,False,0.442,0.56,C,-13.681,major,0.0361,0.252,0.0322,0.151,0.475,166.585,4,psych-rock,FALSE,Allegro,Pink Floyd,A Momentary Lapse of Reason,Learning to Fly
29,57653,False,0.923,0.287,C,-13.711,major,0.114,0.972,0,0.101,0.516,113.953,4,kids,FALSE,Moderato,Babyboomboom,English and French,The Wheels On the Bus (Les Roues Du Bus)
7,423400,False,0.776,0.727,A#/Bb,-14.97,minor,0.0739,0.15,0.93,0.0906,0.643,130.052,4,detroit-techno,FALSE,Allegro,Aril Brikha,Ex Machina,More Human
50,406173,False,0.365,0.458,B,-8.138,major,0.0311,0.0576,0,0.302,0.114,73.991,4,world-music,FALSE,Adagio,Hillsong Worship,let there be light.,Behold (Then Sings My Soul)
21,360592,False,0.438,0.957,A,-6.274,major,0.0597,7.06e-6,0.139,0.583,0.251,140.025,4,heavy-metal,FALSE,Allegro,Stam1na,Novus Ordo Mundi,Novus Ordo Mundi
15,46106,False,0.818,0.377,C,-9.846,minor,0.321,0.725,1.83e-6,0.525,0.835,71.998,4,kids,FALSE,Adagio,Dora The Explorer,Dora The Explorer,Swiper No Swiping!
8,412799,False,0.724,0.551,A#/Bb,-11.679,minor,0.0709,0.00489,0.114,0.097,0.558,128.006,4,detroit-techno,FALSE,Allegro,Carl Craig,The Album Formerly Known As ...,Technology
74,312293,False,0.389,0.873,E,-4.768,minor,0.0475,0.00532,0.0055,0.273,0.303,106.767,4,hard-rock,FALSE,Andante,AC/DC,Back In Black,Hells Bells
22,209306,False,0.698,0.809,C,-4.447,major,0.0775,0.0116,3.08e-5,0.264,0.872,138.011,4,kids,FALSE,Allegro,Dora The Explorer,Dora The Explorer World Adventure,De Colores
43,263270,False,0.636,0.765,G,-6.669,major,0.0538,0.453,0,0.664,0.906,95.06,4,pagode,FALSE,Andante,Ferrugem,Ferrugem em Casa 2 (Bloco 1) [Ao Vivo],Oya / Resumo da Felicidade / Amor singular - Ao Vivo
39,122942,False,0.388,0.807,D,-6.576,minor,0.0576,0.66,0,0.92,0.843,120.671,4,mpb,FALSE,Allegro,Diogo Nogueira,Alma Brasileira (Ao Vivo / Edição Especial),Não Sou Mais Disso / Tristeza - Ao Vivo
67,403044,False,0.269,0.591,A#/Bb,-5.79,minor,0.0416,0.453,6.95e-4,0.0702,0.228,183.793,4,british,FALSE,Presto,Adele,30,Love Is A Game
70,124693,False,0.425,0.369,E,-11.876,major,0.0379,0.183,0.00126,0.112,0.65,176.625,3,british,FALSE,Presto,The Beatles,Rubber Soul (Remastered),Norwegian Wood (This Bird Has Flown) - Remastered 2009
0,215325,False,0.781,0.971,F#/Gb,-5.979,major,0.0735,0.0467,0,0.0698,0.647,116.002,4,children,FALSE,Moderato,The Countdown Kids,Happy Halloween! (Spooky Favorites for Kids),"Ghostbusters (From ""Ghostbusters I"")"
26,364666,False,0.513,0.82,E,-5.118,minor,0.03,0.00694,0.00457,0.0754,0.779,133.997,4,industrial,FALSE,Allegro,VNV Nation,Automatic,Gratitude
